"Total.Household.Income","Total.Food.Expenditure","Agricultural.Household.indicator","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure","Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Age","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Television","Number.of.CD.VCD.DVD","Number.of.Component.Stereo.set","Number.of.Refrigerator.Freezer","Number.of.Washing.Machine","Number.of.Airconditioner","Number.of.Car..Jeep..Van","Number.of.Landline.wireless.telephones","Number.of.Cellular.phone","Number.of.Personal.Computer","Number.of.Stove.with.Oven.Gas.Range","Number.of.Motorized.Banca","Number.of.Motorcycle.Tricycle"
102187,63479,0,13442,11400,2334,6690,785,1885,700,0,0,780,10230,6000,617,1080,624,0,1602,500,0,0,66,3,1,0,1,10,20,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
54682,26576,0,9730,8476,1800,5187,268,1473,90,0,0,326,8280,3600,4367,4104,1170,0,3036,2080,5780,5780,74,2,0,0,1,34,12,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1
58787,55983,0,29599,24580,2736,6446,3350,6845,50,570,2850,780,8976,3300,0,1920,300,380,5538,3025,16050,16050,50,6,0,3,1,48,28,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0
132855,47863,0,15140,11220,2570,11036,1710,6368,3960,0,0,7845,11850,6000,272,10620,1500,3700,5424,0,9885,29625,71,3,0,1,1,15,35,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
60658,34622,1,19614,11830,640,6554,1115,2453,1300,0,0,1150,4968,2400,75,1200,0,300,3042,0,30750,30750,33,4,0,2,1,16,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718238,180371,0,57986,43155,34748,23570,4820,5833,30839,1656,1560,12065,38676,24000,1452,30954,8616,11350,34854,17500,0,0,60,8,0,1,4,40,12,2,1,1,1,1,1,1,0,0,0,7,1,0,0,1
325797,81705,0,18210,13002,15270,20640,3535,5899,2848,726,0,1510,66450,42000,13385,13224,4266,0,17220,12130,15990,188668,63,2,0,0,0,80,20,0,1,1,0,0,1,1,1,0,0,2,0,1,0,1
335708,160169,0,61069,42864,22598,17655,6755,13142,12850,4160,12670,9101,24702,18000,1380,22938,1848,1426,8532,4500,0,0,55,7,0,3,4,40,35,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0
68205,46381,1,26304,12000,1947,4392,870,2803,2730,100,0,3235,7680,1800,120,1638,1260,3335,7392,0,16400,16400,63,5,0,2,1,20,8,2,1,1,1,0,1,0,0,0,0,3,0,0,0,0
110836,65168,1,34616,32479,5260,5452,1255,4960,3940,420,1040,810,8430,4500,735,4800,0,3150,3120,0,0,0,48,9,2,3,3,20,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180642,121140,1,34630,27300,26066,22882,940,10695,6350,0,2896,740,10800,1800,3130,9078,2916,1490,7578,2500,73170,76670,54,9,2,1,3,20,17,1,1,1,1,0,0,0,0,0,0,4,0,0,0,0
174276,48780,0,9174,6630,3156,10428,2269,5307,9215,0,208,3965,37380,18000,1660,7482,390,470,11196,2000,0,0,40,6,2,2,1,60,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
182106,97541,0,25030,19552,18403,14367,3053,5635,16020,480,0,6900,41028,27000,891,576,1608,2175,12090,0,0,43878,35,4,0,2,1,200,22,3,1,1,1,0,1,0,0,0,0,4,0,0,0,0
386244,137375,0,47370,32832,20118,18686,3950,6471,16600,0,0,23928,37638,22800,4242,81432,6480,300,12684,26000,54670,54670,59,7,1,1,3,40,25,3,1,1,1,1,1,1,0,0,0,5,1,0,0,1
